,Jahr,EW_per_sqkm
,1995,86
,1996,87
,1997,87
,1998,88
,1999,88
,2000,88
,2001,88
,2002,88
,2003,87
,2004,87
,2005,87
,2006,86
,2007,86
,2008,86
,2009,85
,2010,85
,2011,83
,2012,83
,2013,83
,2014,83
,2015,84
,2016,84
,2017,84
,2018,85
,2019,85
,2020,85
,2021,86
,2022,87
