,Jahr,EW_per_sqkm
,1995,79
,1996,78
,1997,78
,1998,78
,1999,77
,2000,77
,2001,76
,2002,75
,2003,75
,2004,74
,2005,74
,2006,73
,2007,72
,2008,72
,2009,71
,2010,71
,2011,69
,2012,69
,2013,69
,2014,69
,2015,69
,2016,69
,2017,69
,2018,69
,2019,69
,2020,69
,2021,69
,2022,70
