,,,
,,,
,Arbeitslosenquote in Nordrhein-Westfalen bis 2022,,
,Arbeitslosenquote¹ in Nordrhein-Westfalen von 2005 bis 2022,,
,,,
,1994,"9,80",in %
,1995,"9,70",in %
,1996,"10,40",in %
,1997,"11,10",in %
,1998,"10,70",in %
,1999,"10,20",in %
,2000,"9,20",in %
,2001,"8,80",in %
,2002,"9,20",in %
,2003,10,in %
,2004,"10,20",in %
,2005,12,in %
,2006,"11,40",in %
,2007,"9,50",in %
,2008,"8,50",in %
,2009,"8,90",in %
,2010,"8,70",in %
,2011,"8,10",in %
,2012,"8,10",in %
,2013,"8,30",in %
,2014,"8,20",in %
,2015,8,in %
,2016,"7,70",in %
,2017,"7,40",in %
,2018,"6,80",in %
,2019,"6,50",in %
,2020,"7,50",in %
,2021,"7,30",in %
,2022,"6,80",in %
,,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,
