,,,
,,,
,Arbeitslosenquote in Mecklenburg-Vorpommern bis 2022,,
,Arbeitslosenquote¹ in Mecklenburg-Vorpommern von 2005 bis 2022,,
,,,
,1994,"16,20",in %
,1995,"15,30",in %
,1996,"16,80",in %
,1997,"18,90",in %
,1998,"19,20",in %
,1999,"18,20",in %
,2000,"17,80",in %
,2001,"18,30",in %
,2002,"18,60",in %
,2003,"20,10",in %
,2004,"20,40",in %
,2005,"20,30",in %
,2006,19,in %
,2007,"16,50",in %
,2008,"14,10",in %
,2009,"13,50",in %
,2010,"12,70",in %
,2011,"12,50",in %
,2012,12,in %
,2013,"11,70",in %
,2014,"11,20",in %
,2015,"10,40",in %
,2016,"9,70",in %
,2017,"8,60",in %
,2018,"7,90",in %
,2019,"7,10",in %
,2020,"7,80",in %
,2021,"7,60",in %
,2022,"7,30",in %
,,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,
