,,,
,,,
,Arbeitslosenquote in Schleswig-Holstein bis 2022,,
,Arbeitslosenquote¹ in Schleswig-Holstein von 2005 bis 2022,,
,,,
,1994,"8,10",in %
,1995,"8,10",in %
,1996,"8,90",in %
,1997,"9,90",in %
,1998,10,in %
,1999,"9,40",in %
,2000,"8,50",in %
,2001,"8,40",in %
,2002,"8,70",in %
,2003,"9,70",in %
,2004,"9,80",in %
,2005,"11,60",in %
,2006,10,in %
,2007,"8,40",in %
,2008,"7,60",in %
,2009,"7,80",in %
,2010,"7,50",in %
,2011,"7,20",in %
,2012,"6,90",in %
,2013,"6,90",in %
,2014,"6,80",in %
,2015,"6,50",in %
,2016,"6,30",in %
,2017,6,in %
,2018,"5,50",in %
,2019,"5,10",in %
,2020,"5,80",in %
,2021,"5,60",in %
,2022,"5,20",in %
,,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,
