,,,
,,,
,Arbeitslosenquote in Berlin bis 2022,,
,Arbeitslosenquote¹ in Berlin von 2005 bis 2022,,
,,,
,1994,"12,10",in %
,1995,"12,40",in %
,1996,"13,80",in %
,1997,"15,60",in %
,1998,"16,10",in %
,1999,"15,90",in %
,2000,"15,80",in %
,2001,"16,10",in %
,2002,"16,90",in %
,2003,"18,10",in %
,2004,"17,70",in %
,2005,19,in %
,2006,"17,50",in %
,2007,"15,50",in %
,2008,"13,80",in %
,2009,14,in %
,2010,"13,60",in %
,2011,"13,30",in %
,2012,"12,30",in %
,2013,"11,70",in %
,2014,"11,10",in %
,2015,"10,70",in %
,2016,"9,80",in %
,2017,9,in %
,2018,"8,10",in %
,2019,"7,80",in %
,2020,"9,70",in %
,2021,"9,80",in %
,2022,"8,80",in %
,,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,
