,,,
,,,
,Arbeitslosenquote in Sachsen-Anhalt bis 2022,,
,Arbeitslosenquote¹ in Sachsen-Anhalt von 2005 bis 2022,,
,,,
,1994,"16,70",in %
,1995,"15,70",in %
,1996,"17,70",in %
,1997,"20,30",in %
,1998,"20,40",in %
,1999,"20,30",in %
,2000,"20,20",in %
,2001,"19,70",in %
,2002,"19,60",in %
,2003,"20,50",in %
,2004,"20,30",in %
,2005,"20,20",in %
,2006,"18,30",in %
,2007,"15,90",in %
,2008,"13,90",in %
,2009,"13,60",in %
,2010,"12,50",in %
,2011,"11,60",in %
,2012,"11,50",in %
,2013,"11,20",in %
,2014,"10,70",in %
,2015,"10,20",in %
,2016,"9,60",in %
,2017,"8,40",in %
,2018,"7,70",in %
,2019,"7,10",in %
,2020,"7,70",in %
,2021,"7,30",in %
,2022,"7,10",in %
,,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,
